anchorMethod,assignedNumber,bboxX1,bboxX2,bboxY1,bboxY2,digitScore,explorerX,explorerY,imageX,imageY,source,status,type
pin-bottom-tip,6,549,577,1067,1105,0.756,2533.5,1919.25,563.0,1105,RDO Wildflower Reference Map A,classified,wild-rhubarb
pin-bottom-tip,6,580,609,1077,1115,0.757,2675.25,1871.75,594.5,1115,RDO Wildflower Reference Map A,classified,wild-rhubarb
pin-bottom-tip,6,356,385,1081,1119,0.76,1667.25,1852.75,370.5,1119,RDO Wildflower Reference Map A,classified,wild-rhubarb
pin-bottom-tip,6,797,825,1109,1147,0.733,3649.5,1719.75,811.0,1147,RDO Wildflower Reference Map A,classified,wild-rhubarb
pin-bottom-tip,6,942,970,1114,1152,0.818,4302.0,1696.0,956.0,1152,RDO Wildflower Reference Map A,classified,wild-rhubarb
pin-bottom-tip,6,870,899,1134,1171,0.775,3980.25,1605.75,884.5,1171,RDO Wildflower Reference Map A,classified,wild-rhubarb
pin-bottom-tip,6,581,609,1136,1173,0.747,2677.5,1596.25,595.0,1173,RDO Wildflower Reference Map A,classified,wild-rhubarb
pin-bottom-tip,8,367,395,1138,1175,0.668,1714.5,1586.75,381.0,1175,RDO Wildflower Reference Map A,classified,bitterweed
pin-bottom-tip,8,401,429,1149,1187,0.658,1867.5,1529.75,415.0,1187,RDO Wildflower Reference Map A,classified,bitterweed
pin-bottom-tip,6,985,1014,1165,1203,0.785,4497.75,1453.75,999.5,1203,RDO Wildflower Reference Map A,classified,wild-rhubarb
pin-bottom-tip,6,562,589,1173,1211,0.756,2589.75,1415.75,575.5,1211,RDO Wildflower Reference Map A,classified,wild-rhubarb
pin-bottom-tip,6,388,423,1198,1226,0.763,1824.75,1344.5,405.5,1226,RDO Wildflower Reference Map A,classified,wild-rhubarb
pin-bottom-tip,8,794,822,1203,1241,0.627,3636.0,1273.25,808.0,1241,RDO Wildflower Reference Map A,classified,bitterweed
pin-bottom-tip,7,246,274,1228,1266,0.584,1170.0,1154.5,260.0,1266,RDO Wildflower Reference Map A,classified,texas-bluebonnet
pin-bottom-tip,7,477,505,1262,1300,0.663,2209.5,993.0,491.0,1300,RDO Wildflower Reference Map A,classified,texas-bluebonnet
pin-bottom-tip,7,158,186,1283,1321,0.655,774.0,893.25,172.0,1321,RDO Wildflower Reference Map A,classified,texas-bluebonnet
pin-bottom-tip,7,242,270,1311,1349,0.65,1152.0,760.25,256.0,1349,RDO Wildflower Reference Map A,classified,texas-bluebonnet
pin-bottom-tip,9,150,178,1327,1365,0.801,738.0,684.25,164.0,1365,RDO Wildflower Reference Map A,classified,agarita
pin-bottom-tip,7,407,435,1340,1378,0.661,1894.5,622.5,421.0,1378,RDO Wildflower Reference Map A,classified,texas-bluebonnet
pin-bottom-tip,9,364,392,1341,1379,0.808,1701.0,617.75,378.0,1379,RDO Wildflower Reference Map A,classified,agarita
pin-bottom-tip,9,306,334,1360,1397,0.796,1440.0,532.25,320.0,1397,RDO Wildflower Reference Map A,classified,agarita
pin-bottom-tip,4,1888,1915,163,200,0.675,8556.75,6218.0,1901.5,200,RDO Wildflower Reference Map B,classified,wisteria
pin-bottom-tip,4,1843,1871,251,288,0.562,8356.5,5800.0,1857.0,288,RDO Wildflower Reference Map B,classified,wisteria
pin-bottom-tip,4,1793,1821,412,449,0.686,8131.5,5035.25,1807.0,449,RDO Wildflower Reference Map B,classified,wisteria
pin-bottom-tip,8,842,870,429,466,0.781,3852.0,4954.5,856.0,466,RDO Wildflower Reference Map B,classified,bitterweed
pin-bottom-tip,9,1753,1780,432,469,0.717,7949.25,4940.25,1766.5,469,RDO Wildflower Reference Map B,classified,agarita
pin-bottom-tip,8,1001,1028,476,513,0.601,4565.25,4731.25,1014.5,513,RDO Wildflower Reference Map B,classified,bitterweed
pin-bottom-tip,6,1725,1753,501,539,0.633,7825.5,4607.75,1739.0,539,RDO Wildflower Reference Map B,classified,wild-rhubarb
pin-bottom-tip,8,852,879,503,541,0.658,3894.75,4598.25,865.5,541,RDO Wildflower Reference Map B,classified,bitterweed
pin-bottom-tip,8,1008,1035,526,564,0.834,4596.75,4489.0,1021.5,564,RDO Wildflower Reference Map B,classified,bitterweed
pin-bottom-tip,8,1873,1900,537,574,0.787,8489.25,4441.5,1886.5,574,RDO Wildflower Reference Map B,classified,bitterweed
pin-bottom-tip,8,1191,1218,590,627,0.644,5420.25,4189.75,1204.5,627,RDO Wildflower Reference Map B,classified,bitterweed
pin-bottom-tip,8,1078,1105,611,648,0.615,4911.75,4090.0,1091.5,648,RDO Wildflower Reference Map B,classified,bitterweed
pin-bottom-tip,8,1773,1800,612,649,0.745,8039.25,4085.25,1786.5,649,RDO Wildflower Reference Map B,classified,bitterweed
pin-bottom-tip,2,1708,1736,645,682,0.575,7749.0,3928.5,1722.0,682,RDO Wildflower Reference Map B,classified,creek-plum
pin-bottom-tip,2,1536,1563,659,696,0.679,6972.75,3862.0,1549.5,696,RDO Wildflower Reference Map B,classified,creek-plum
pin-bottom-tip,5,1800,1827,664,701,0.521,8160.75,3838.25,1813.5,701,RDO Wildflower Reference Map B,classified,cardinal-flower
pin-bottom-tip,2,1111,1138,678,716,0.651,5060.25,3767.0,1124.5,716,RDO Wildflower Reference Map B,classified,creek-plum
pin-bottom-tip,5,1839,1866,680,717,0.664,8336.25,3762.25,1852.5,717,RDO Wildflower Reference Map B,classified,cardinal-flower
pin-bottom-tip,,1233,1274,683,732,0.0,,,1253.5,732,RDO Wildflower Reference Map B,unclassified,
pin-bottom-tip,,1815,1840,697,731,0.0,,,1827.5,731,RDO Wildflower Reference Map B,unclassified,
pin-bottom-tip,3,1328,1355,700,737,0.606,6036.75,3667.25,1341.5,737,RDO Wildflower Reference Map B,classified,chocolate-daisy
pin-bottom-tip,3,1288,1315,705,743,0.568,5856.75,3638.75,1301.5,743,RDO Wildflower Reference Map B,classified,chocolate-daisy
pin-bottom-tip,1,1893,1921,711,748,0.623,8581.5,3615.0,1907.0,748,RDO Wildflower Reference Map B,classified,blood-flower
pin-bottom-tip,1,1741,1769,718,755,0.62,7897.5,3581.75,1755.0,755,RDO Wildflower Reference Map B,classified,blood-flower
pin-bottom-tip,,1786,1814,718,755,0.0,,,1800.0,755,RDO Wildflower Reference Map B,unclassified,
pin-bottom-tip,9,1495,1522,722,759,0.465,6788.25,3562.75,1508.5,759,RDO Wildflower Reference Map B,classified,agarita
pin-bottom-tip,5,1853,1880,723,760,0.52,8399.25,3558.0,1866.5,760,RDO Wildflower Reference Map B,classified,cardinal-flower
pin-bottom-tip,9,1173,1213,724,772,0.521,5368.5,3501.0,1193.0,772,RDO Wildflower Reference Map B,classified,agarita
pin-bottom-tip,3,1427,1454,727,765,0.761,6482.25,3534.25,1440.5,765,RDO Wildflower Reference Map B,classified,chocolate-daisy
pin-bottom-tip,2,1023,1050,738,775,0.747,4664.25,3486.75,1036.5,775,RDO Wildflower Reference Map B,classified,creek-plum
pin-bottom-tip,5,1820,1848,740,778,0.71,8253.0,3472.5,1834.0,778,RDO Wildflower Reference Map B,classified,cardinal-flower
pin-bottom-tip,4,895,922,746,783,0.72,4088.25,3448.75,908.5,783,RDO Wildflower Reference Map B,classified,wisteria
pin-bottom-tip,9,1142,1169,746,783,0.628,5199.75,3448.75,1155.5,783,RDO Wildflower Reference Map B,classified,agarita
pin-bottom-tip,5,1833,1871,771,798,0.699,8334.0,3377.5,1852.0,798,RDO Wildflower Reference Map B,classified,cardinal-flower
pin-bottom-tip,4,944,972,787,825,0.66,4311.0,3249.25,958.0,825,RDO Wildflower Reference Map B,classified,wisteria
pin-bottom-tip,5,1738,1763,796,830,0.668,7877.25,3225.5,1750.5,830,RDO Wildflower Reference Map B,classified,cardinal-flower
pin-bottom-tip,,1760,1784,807,841,0.0,,,1772.0,841,RDO Wildflower Reference Map B,unclassified,
pin-bottom-tip,4,926,960,824,851,0.528,4243.5,3125.75,943.0,851,RDO Wildflower Reference Map B,classified,wisteria
pin-bottom-tip,,1047,1074,824,861,0.0,,,1060.5,861,RDO Wildflower Reference Map B,unclassified,
pin-bottom-tip,,1719,1745,828,863,0.0,,,1732.0,863,RDO Wildflower Reference Map B,unclassified,
pin-bottom-tip,5,1787,1812,829,862,0.678,8097.75,3073.5,1799.5,862,RDO Wildflower Reference Map B,classified,cardinal-flower
pin-bottom-tip,,1759,1793,848,873,0.0,,,1776.0,873,RDO Wildflower Reference Map B,unclassified,
pin-bottom-tip,9,1522,1550,869,906,0.528,6912.0,2864.5,1536.0,906,RDO Wildflower Reference Map B,classified,agarita
pin-bottom-tip,,845,872,871,908,0.0,,,858.5,908,RDO Wildflower Reference Map B,unclassified,
pin-bottom-tip,4,809,837,878,916,0.599,3703.5,2817.0,823.0,916,RDO Wildflower Reference Map B,classified,wisteria
pin-bottom-tip,4,857,884,910,948,0.692,3917.25,2665.0,870.5,948,RDO Wildflower Reference Map B,classified,wisteria
pin-bottom-tip,7,1204,1232,911,948,0.671,5481.0,2665.0,1218.0,948,RDO Wildflower Reference Map B,classified,texas-bluebonnet
pin-bottom-tip,7,1132,1159,932,969,0.612,5154.75,2565.25,1145.5,969,RDO Wildflower Reference Map B,classified,texas-bluebonnet
pin-bottom-tip,1,1795,1832,947,974,0.768,8160.75,2541.5,1813.5,974,RDO Wildflower Reference Map B,classified,blood-flower
pin-bottom-tip,7,1068,1096,967,1004,0.72,4869.0,2399.0,1082.0,1004,RDO Wildflower Reference Map B,classified,texas-bluebonnet
pin-bottom-tip,4,892,920,970,1008,0.693,4077.0,2380.0,906.0,1008,RDO Wildflower Reference Map B,classified,wisteria
pin-bottom-tip,7,1193,1220,981,1018,0.669,5429.25,2332.5,1206.5,1018,RDO Wildflower Reference Map B,classified,texas-bluebonnet
pin-bottom-tip,5,1736,1771,992,1032,0.735,7890.75,2266.0,1753.5,1032,RDO Wildflower Reference Map B,classified,cardinal-flower
pin-bottom-tip,2,1618,1645,1034,1072,0.648,7341.75,2076.0,1631.5,1072,RDO Wildflower Reference Map B,classified,creek-plum
pin-bottom-tip,9,724,751,1042,1080,0.62,3318.75,2038.0,737.5,1080,RDO Wildflower Reference Map B,classified,agarita
pin-bottom-tip,9,398,426,1087,1124,0.808,1854.0,1829.0,412.0,1124,RDO Wildflower Reference Map B,classified,agarita
pin-bottom-tip,8,890,917,1099,1136,0.721,4065.75,1772.0,903.5,1136,RDO Wildflower Reference Map B,classified,bitterweed
pin-bottom-tip,8,625,652,1103,1140,0.754,2873.25,1753.0,638.5,1140,RDO Wildflower Reference Map B,classified,bitterweed
pin-bottom-tip,8,847,874,1115,1152,0.659,3872.25,1696.0,860.5,1152,RDO Wildflower Reference Map B,classified,bitterweed
pin-bottom-tip,9,778,806,1117,1154,0.718,3564.0,1686.5,792.0,1154,RDO Wildflower Reference Map B,classified,agarita
pin-bottom-tip,9,583,610,1124,1161,0.61,2684.25,1653.25,596.5,1161,RDO Wildflower Reference Map B,classified,agarita
pin-bottom-tip,8,643,677,1140,1167,0.61,2970.0,1624.75,660.0,1167,RDO Wildflower Reference Map B,classified,bitterweed
pin-bottom-tip,8,540,567,1162,1199,0.735,2490.75,1472.75,553.5,1199,RDO Wildflower Reference Map B,classified,bitterweed
pin-bottom-tip,8,372,398,1191,1228,0.639,1732.5,1335.0,385.0,1228,RDO Wildflower Reference Map B,classified,bitterweed
pin-bottom-tip,9,493,520,1197,1234,0.616,2279.25,1306.5,506.5,1234,RDO Wildflower Reference Map B,classified,agarita
pin-bottom-tip,8,693,721,1197,1235,0.611,3181.5,1301.75,707.0,1235,RDO Wildflower Reference Map B,classified,bitterweed
pin-bottom-tip,8,795,822,1204,1242,0.67,3638.25,1268.5,808.5,1242,RDO Wildflower Reference Map B,classified,bitterweed
pin-bottom-tip,8,744,771,1231,1269,0.685,3408.75,1140.25,757.5,1269,RDO Wildflower Reference Map B,classified,bitterweed
pin-bottom-tip,9,634,661,1236,1274,0.722,2913.75,1116.5,647.5,1274,RDO Wildflower Reference Map B,classified,agarita
pin-bottom-tip,9,668,696,1276,1313,0.886,3069.0,931.25,682.0,1313,RDO Wildflower Reference Map B,classified,agarita
pin-bottom-tip,7,317,344,1285,1322,0.715,1487.25,888.5,330.5,1322,RDO Wildflower Reference Map B,classified,texas-bluebonnet
pin-bottom-tip,7,83,110,1297,1334,0.488,434.25,831.5,96.5,1334,RDO Wildflower Reference Map B,classified,texas-bluebonnet
pin-bottom-tip,7,549,576,1324,1361,0.658,2531.25,703.25,562.5,1361,RDO Wildflower Reference Map B,classified,texas-bluebonnet
pin-bottom-tip,7,151,178,1326,1363,0.712,740.25,693.75,164.5,1363,RDO Wildflower Reference Map B,classified,texas-bluebonnet
pin-bottom-tip,7,436,464,1334,1371,0.688,2025.0,655.75,450.0,1371,RDO Wildflower Reference Map B,classified,texas-bluebonnet
pin-bottom-tip,7,281,308,1366,1403,0.633,1325.25,503.75,294.5,1403,RDO Wildflower Reference Map B,classified,texas-bluebonnet
pin-bottom-tip,4,1914,1942,154,191,0.553,8676.0,6260.75,1928.0,191,RDO Wildflower Reference Map C,classified,wisteria
pin-bottom-tip,4,1863,1891,201,240,0.682,8446.5,6028.0,1877.0,240,RDO Wildflower Reference Map C,classified,wisteria
pin-bottom-tip,4,1821,1849,283,320,0.54,8257.5,5648.0,1835.0,320,RDO Wildflower Reference Map C,classified,wisteria
pin-bottom-tip,4,1790,1818,342,379,0.626,8118.0,5367.75,1804.0,379,RDO Wildflower Reference Map C,classified,wisteria
pin-bottom-tip,8,1891,1918,399,437,0.84,8570.25,5092.25,1904.5,437,RDO Wildflower Reference Map C,classified,bitterweed
pin-bottom-tip,8,884,912,438,476,0.804,4041.0,4907.0,898.0,476,RDO Wildflower Reference Map C,classified,bitterweed
pin-bottom-tip,8,1908,1935,458,495,0.722,8646.75,4816.75,1921.5,495,RDO Wildflower Reference Map C,classified,bitterweed
pin-bottom-tip,6,1797,1825,480,519,0.739,8149.5,4702.75,1811.0,519,RDO Wildflower Reference Map C,classified,wild-rhubarb
pin-bottom-tip,8,907,935,500,538,0.845,4144.5,4612.5,921.0,538,RDO Wildflower Reference Map C,classified,bitterweed
pin-bottom-tip,8,837,865,523,560,0.646,3829.5,4508.0,851.0,560,RDO Wildflower Reference Map C,classified,bitterweed
pin-bottom-tip,8,1082,1110,537,575,0.838,4932.0,4436.75,1096.0,575,RDO Wildflower Reference Map C,classified,bitterweed
pin-bottom-tip,8,1028,1055,540,578,0.838,4686.75,4422.5,1041.5,578,RDO Wildflower Reference Map C,classified,bitterweed
pin-bottom-tip,9,1211,1239,544,582,0.639,5512.5,4403.5,1225.0,582,RDO Wildflower Reference Map C,classified,agarita
pin-bottom-tip,3,1272,1300,558,595,0.715,5787.0,4341.75,1286.0,595,RDO Wildflower Reference Map C,classified,chocolate-daisy
pin-bottom-tip,9,1818,1846,574,612,0.653,8244.0,4261.0,1832.0,612,RDO Wildflower Reference Map C,classified,agarita
pin-bottom-tip,9,1252,1280,588,625,0.592,5697.0,4199.25,1266.0,625,RDO Wildflower Reference Map C,classified,agarita
pin-bottom-tip,2,884,911,609,647,0.491,4038.75,4094.75,897.5,647,RDO Wildflower Reference Map C,classified,creek-plum
pin-bottom-tip,9,1230,1257,618,653,0.605,5595.75,4066.25,1243.5,653,RDO Wildflower Reference Map C,classified,agarita
pin-bottom-tip,6,1174,1201,630,668,0.724,5343.75,3995.0,1187.5,668,RDO Wildflower Reference Map C,classified,wild-rhubarb
pin-bottom-tip,9,1227,1255,655,693,0.714,5584.5,3876.25,1241.0,693,RDO Wildflower Reference Map C,classified,agarita
pin-bottom-tip,5,1742,1767,662,699,0.556,7895.25,3847.75,1754.5,699,RDO Wildflower Reference Map C,classified,cardinal-flower
pin-bottom-tip,1,1765,1792,665,702,0.99,8003.25,3833.5,1778.5,702,RDO Wildflower Reference Map C,classified,blood-flower
pin-bottom-tip,4,871,898,667,704,0.685,3980.25,3824.0,884.5,704,RDO Wildflower Reference Map C,classified,wisteria
pin-bottom-tip,2,936,963,680,717,0.57,4272.75,3762.25,949.5,717,RDO Wildflower Reference Map C,classified,creek-plum
pin-bottom-tip,,1258,1285,686,723,0.0,,,1271.5,723,RDO Wildflower Reference Map C,unclassified,
pin-bottom-tip,9,1210,1238,690,727,0.663,5508.0,3714.75,1224.0,727,RDO Wildflower Reference Map C,classified,agarita
pin-bottom-tip,9,1284,1310,692,728,0.664,5836.5,3710.0,1297.0,728,RDO Wildflower Reference Map C,classified,agarita
pin-bottom-tip,5,1730,1757,699,735,0.65,7845.75,3676.75,1743.5,735,RDO Wildflower Reference Map C,classified,cardinal-flower
pin-bottom-tip,1,1810,1837,702,739,0.97,8205.75,3657.75,1823.5,739,RDO Wildflower Reference Map C,classified,blood-flower
pin-bottom-tip,9,1182,1210,709,746,0.625,5382.0,3624.5,1196.0,746,RDO Wildflower Reference Map C,classified,agarita
pin-bottom-tip,2,1053,1081,714,752,0.592,4801.5,3596.0,1067.0,752,RDO Wildflower Reference Map C,classified,creek-plum
pin-bottom-tip,1,1675,1703,732,769,0.636,7600.5,3515.25,1689.0,769,RDO Wildflower Reference Map C,classified,blood-flower
pin-bottom-tip,1,1885,1912,733,770,0.768,8543.25,3510.5,1898.5,770,RDO Wildflower Reference Map C,classified,blood-flower
pin-bottom-tip,3,1201,1232,749,780,0.488,5474.25,3463.0,1216.5,780,RDO Wildflower Reference Map C,classified,chocolate-daisy
pin-bottom-tip,4,923,951,754,792,0.697,4216.5,3406.0,937.0,792,RDO Wildflower Reference Map C,classified,wisteria
pin-bottom-tip,9,1108,1136,760,798,0.659,5049.0,3377.5,1122.0,798,RDO Wildflower Reference Map C,classified,agarita
pin-bottom-tip,3,1066,1094,770,808,0.695,4860.0,3330.0,1080.0,808,RDO Wildflower Reference Map C,classified,chocolate-daisy
pin-bottom-tip,5,1758,1785,780,817,0.678,7971.75,3287.25,1771.5,817,RDO Wildflower Reference Map C,classified,cardinal-flower
pin-bottom-tip,9,1141,1169,782,820,0.565,5197.5,3273.0,1155.0,820,RDO Wildflower Reference Map C,classified,agarita
pin-bottom-tip,2,1610,1637,783,820,0.561,7305.75,3273.0,1623.5,820,RDO Wildflower Reference Map C,classified,creek-plum
pin-bottom-tip,5,1658,1685,789,826,0.668,7521.75,3244.5,1671.5,826,RDO Wildflower Reference Map C,classified,cardinal-flower
pin-bottom-tip,5,1793,1820,790,827,0.669,8129.25,3239.75,1806.5,827,RDO Wildflower Reference Map C,classified,cardinal-flower
pin-bottom-tip,3,1010,1038,798,835,0.47,4608.0,3201.75,1024.0,835,RDO Wildflower Reference Map C,classified,chocolate-daisy
pin-bottom-tip,,1631,1658,799,835,0.0,,,1644.5,835,RDO Wildflower Reference Map C,unclassified,
pin-bottom-tip,4,954,982,806,843,0.614,4356.0,3163.75,968.0,843,RDO Wildflower Reference Map C,classified,wisteria
pin-bottom-tip,5,1700,1727,821,859,0.581,7710.75,3087.75,1713.5,859,RDO Wildflower Reference Map C,classified,cardinal-flower
pin-bottom-tip,3,983,1011,839,876,0.738,4486.5,3007.0,997.0,876,RDO Wildflower Reference Map C,classified,chocolate-daisy
pin-bottom-tip,5,1674,1705,857,887,0.609,7602.75,2954.75,1689.5,887,RDO Wildflower Reference Map C,classified,cardinal-flower
pin-bottom-tip,5,1770,1799,885,923,0.68,8030.25,2783.75,1784.5,923,RDO Wildflower Reference Map C,classified,cardinal-flower
pin-bottom-tip,4,822,849,890,928,0.684,3759.75,2760.0,835.5,928,RDO Wildflower Reference Map C,classified,wisteria
pin-bottom-tip,5,1738,1765,905,942,0.648,7881.75,2693.5,1751.5,942,RDO Wildflower Reference Map C,classified,cardinal-flower
pin-bottom-tip,4,875,903,939,978,0.739,4000.5,2522.5,889.0,978,RDO Wildflower Reference Map C,classified,wisteria
pin-bottom-tip,5,1720,1747,944,983,0.629,7800.75,2498.75,1733.5,983,RDO Wildflower Reference Map C,classified,cardinal-flower
pin-bottom-tip,7,1116,1159,952,997,0.681,5118.75,2432.25,1137.5,997,RDO Wildflower Reference Map C,classified,texas-bluebonnet
