candidateId,detectionId,candidateType,candidateTypeName,x,y,surveyConfidence,typeReviewStatus,reviewDecision,originalType,reviewedType,classification,nearestSameExportHerbDistance,nearestSameExportHerbId,nearestSameExportHerbType,nearestAnyExportHerbDistance,nearestAnyExportHerbId,nearestAnyExportHerbType,nearestAnyExportHerbName,nearestAnyExportHerbStatus,nearestAnyExportHerbConfidence,suspicionReasons
wildflower-candidate-123,D132,agarita,Agarita,3301.2231162425833,2484.7505173029367,medium,confirmed,not-reviewed,agarita,,New Survey Target,,,,252.1,e6af6c00-51a5-4afa-b2ad-1b6d4fc511c2,wild-rhubarb,Wild Rhubarb,verified,approximate,near different exported herb within 300: wild-rhubarb (252.1); no same-type exported herb exists
wildflower-candidate-210,D224,agarita,Agarita,3500.6349314453328,1982.1830292232225,medium,confirmed,not-reviewed,agarita,,New Survey Target,,,,170.2,f84f17aa-bf06-433c-959c-a92ecf30dbb7,wild-rhubarb,Wild Rhubarb,verified,approximate,near different exported herb within 300: wild-rhubarb (170.2); no same-type exported herb exists
wildflower-candidate-128,D137,agarita,Agarita,3524.0946114905087,2182.591600381629,medium,uncertain,candidate-classification-uncertain,agarita,agarita,New Survey Target,,,,84.7,44110eb3-343f-4f46-8a49-d37fb78dc1b9,wild-rhubarb,Wild Rhubarb,verified,approximate,near different exported herb within 150: wild-rhubarb (84.7); no same-type exported herb exists
wildflower-candidate-178,D189,agarita,Agarita,4872.534826339942,3638.2935117554116,medium,confirmed,confirm-candidate-type,agarita,wild-mint,New Survey Target,,,,17.4,0a84c26f-376b-4f65-a05f-b6d6caae8b45,wild-mint,Wild Mint,verified,exact,near different exported herb within 150: wild-mint (17.4); no same-type exported herb exists
wildflower-candidate-107,D110,agarita,Agarita,5009.137222870379,3698.900476590378,medium,uncertain,candidate-classification-uncertain,agarita,agarita,New Survey Target,,,,116.9,f4c59ecc-af89-4d26-912a-b28c37247d77,parasol-mushroom,Parasol Mushroom,verified,exact,near different exported herb within 150: parasol-mushroom (116.9); no same-type exported herb exists
wildflower-candidate-102,D105,agarita,Agarita,5162.385401313863,3743.918480143305,medium,uncertain,candidate-classification-uncertain,agarita,agarita,New Survey Target,,,,42.4,dfd6d715-3614-4d00-ac8b-83dfc38f2406,chocolate-daisy,Chocolate Daisy,verified,exact,near different exported herb within 150: chocolate-daisy (42.4); no same-type exported herb exists
wildflower-candidate-156,D166,agarita,Agarita,5292.845191622774,4521.58728516182,medium,confirmed,not-reviewed,agarita,,New Survey Target,,,,168.4,801442eb-054f-4c1e-a405-312d7f0fefc3,creeping-thyme,Creeping Thyme,unverified,exact,near different exported herb within 300: creeping-thyme (168.4); no same-type exported herb exists
wildflower-candidate-163,D173,agarita,Agarita,5358.517431163443,4067.640904609758,medium,uncertain,candidate-classification-uncertain,agarita,agarita,New Survey Target,,,,75.1,83769c53-0d00-4729-8d7a-79265a4457d4,garlic,Garlic,verified,exact,near different exported herb within 150: garlic (75.1); no same-type exported herb exists
wildflower-candidate-100,D103,agarita,Agarita,6451.846722064135,3797.731055425918,medium,confirmed,confirm-candidate-type,agarita,hummingbird-sage,New Survey Target,,,,7.0,c4ba2fb1-63a9-41d1-a76f-502a3b3a6891,hummingbird-sage,Hummingbird Sage,verified,exact,near different exported herb within 150: hummingbird-sage (7.0); no same-type exported herb exists
wildflower-candidate-046,D046,agarita,Agarita,6516.878289616413,2834.2605261096433,medium,confirmed,not-reviewed,agarita,,New Survey Target,,,,304.0,72ca3683-3ab4-4faf-9053-667b7b3a673b,chanterelles,Chanterelles,unverified,exact,no same-type exported herb exists
wildflower-candidate-041,D041,agarita,Agarita,6539.37889462957,2997.567166026378,medium,confirmed,not-reviewed,agarita,,New Survey Target,,,,170.5,72ca3683-3ab4-4faf-9053-667b7b3a673b,chanterelles,Chanterelles,unverified,exact,near different exported herb within 300: chanterelles (170.5); no same-type exported herb exists
wildflower-candidate-113,D120,agarita,Agarita,6564.488596830531,3197.3149344801586,medium,confirmed,not-reviewed,agarita,,New Survey Target,,,,157.6,72ca3683-3ab4-4faf-9053-667b7b3a673b,chanterelles,Chanterelles,unverified,exact,near different exported herb within 300: chanterelles (157.6); no same-type exported herb exists
wildflower-candidate-053,D053,agarita,Agarita,6582.198016578813,2634.2681269011846,medium,confirmed,not-reviewed,agarita,,New Survey Target,,,,514.3,72ca3683-3ab4-4faf-9053-667b7b3a673b,chanterelles,Chanterelles,unverified,exact,no same-type exported herb exists
wildflower-candidate-082,D082,agarita,Agarita,7505.835009465139,4982.927228276127,medium,confirmed,not-reviewed,agarita,,New Survey Target,,,,233.7,078617f3-8f01-4c5c-be8e-da07f87931ea,evergreen-huckleberry,Evergreen Huckleberry,unverified,exact,near different exported herb within 300: evergreen-huckleberry (233.7); no same-type exported herb exists
wildflower-candidate-158,D168,agarita,Agarita,7773.256797315731,4398.623445865743,medium,confirmed,not-reviewed,agarita,,New Survey Target,,,,437.2,b0ed4d15-95cf-429e-9f51-2e7335fe5783,evergreen-huckleberry,Evergreen Huckleberry,unverified,guess,no same-type exported herb exists
wildflower-candidate-160,D170,creek-plum,Creek Plum,3954.7812574955374,4255.916892278326,medium,confirmed,not-reviewed,creek-plum,,New Survey Target,,,,213.1,09bd1960-55c1-436a-8559-64a7be754fe6,violet-snowdrops,Violet Snowdrops,verified,exact,near different exported herb within 300: violet-snowdrops (213.1); no same-type exported herb exists
wildflower-candidate-167,D177,creek-plum,Creek Plum,4167.449083468051,3969.6252329154067,medium,uncertain,candidate-classification-uncertain,creek-plum,creek-plum,New Survey Target,,,,89.7,f47dcc55-5e0e-4dd6-a11d-e17d5398c48c,violet-snowdrops,Violet Snowdrops,verified,exact,near different exported herb within 150: violet-snowdrops (89.7); no same-type exported herb exists
wildflower-candidate-032,D032,creek-plum,Creek Plum,4343.7987394662805,3559.549844542273,medium,uncertain,candidate-classification-uncertain,creek-plum,creek-plum,New Survey Target,,,,115.7,64143c7f-e9c6-452f-bee5-0f9c3b4e1d03,creeping-thyme,Creeping Thyme,verified,exact,near different exported herb within 150: creeping-thyme (115.7); no same-type exported herb exists
wildflower-candidate-012,D012,creek-plum,Creek Plum,4442.017436193618,4441.391101401918,medium,confirmed,not-reviewed,creek-plum,,New Survey Target,,,,154.9,dc30179a-9233-409a-ac3b-ebdb3f1d0ea4,burdock-root,Burdock Root,verified,exact,near different exported herb within 300: burdock-root (154.9); no same-type exported herb exists
wildflower-candidate-104,D107,creek-plum,Creek Plum,4522.757762379677,3731.3120953749035,medium,uncertain,candidate-classification-uncertain,creek-plum,creek-plum,New Survey Target,,,,93.1,1d8a7ae4-fc0d-48e2-b21e-46b291f71dcc,oregano,Oregano,verified,exact,near different exported herb within 150: oregano (93.1); no same-type exported herb exists
wildflower-candidate-173,D184,creek-plum,Creek Plum,4647.671663744042,3826.4375565263936,medium,confirmed,not-reviewed,creek-plum,,New Survey Target,,,,230.8,1d8a7ae4-fc0d-48e2-b21e-46b291f71dcc,oregano,Oregano,verified,exact,near different exported herb within 300: oregano (230.8); no same-type exported herb exists
wildflower-candidate-094,D094,creek-plum,Creek Plum,4882.324536708599,3972.518022673663,medium,confirmed,not-reviewed,creek-plum,,New Survey Target,,,,318.5,3a5be17b-7bc7-4790-b989-1991c09cc3c9,wild-mint,Wild Mint,verified,exact,no same-type exported herb exists
wildflower-candidate-092,D092,creek-plum,Creek Plum,6619.31263728619,4055.170885822608,medium,confirmed,not-reviewed,creek-plum,,New Survey Target,,,,300.4,ca3fb906-fe84-4dc7-b286-2dd2c1c44d1e,chocolate-daisy,Chocolate Daisy,verified,exact,no same-type exported herb exists
wildflower-candidate-022,D022,creek-plum,Creek Plum,6809.164805965195,3863.186736840036,medium,confirmed,not-reviewed,creek-plum,,New Survey Target,,,,210.0,690689d9-4adf-456c-8746-29b7c5fdded0,creeping-thyme,Creeping Thyme,verified,exact,near different exported herb within 300: creeping-thyme (210.0); no same-type exported herb exists
wildflower-candidate-043,D043,creek-plum,Creek Plum,6902.938385551152,2965.1365998034616,medium,confirmed,not-reviewed,creek-plum,,New Survey Target,,,,472.4,3f77bf85-8570-4cf7-9ff9-c89e22bb2abe,raspberry,Raspberry,verified,exact,no same-type exported herb exists
wildflower-candidate-182,D193,creek-plum,Creek Plum,6921.829652805101,3548.094250813526,medium,uncertain,candidate-classification-uncertain,creek-plum,creek-plum,New Survey Target,,,,127.0,3f77bf85-8570-4cf7-9ff9-c89e22bb2abe,raspberry,Raspberry,verified,exact,near different exported herb within 150: raspberry (127.0); no same-type exported herb exists
wildflower-candidate-122,D131,creek-plum,Creek Plum,6955.085772814582,2519.4388499948245,medium,confirmed,not-reviewed,creek-plum,,New Survey Target,,,,804.0,72ca3683-3ab4-4faf-9053-667b7b3a673b,chanterelles,Chanterelles,unverified,exact,no same-type exported herb exists
wildflower-candidate-196,D208,creek-plum,Creek Plum,7191.970910013092,2848.7525366703176,medium,confirmed,not-reviewed,creek-plum,,New Survey Target,,,,582.4,806ec1f1-3df0-4689-9b02-171264664fae,vanilla-flower,Vanilla Flower,verified,exact,no same-type exported herb exists
wildflower-candidate-091,D091,creek-plum,Creek Plum,7324.315596305668,4112.746952970187,medium,confirmed,not-reviewed,creek-plum,,New Survey Target,,,,189.4,dbb3e170-c209-4cf9-8181-3b0dcc09e13f,vanilla-flower,Vanilla Flower,unverified,exact,near different exported herb within 300: vanilla-flower (189.4); no same-type exported herb exists
