mapId,sourceMap,controlPointName,sourceX,sourceY,storedExplorerX,storedExplorerY,sourceCoordinateMethod,explorerCoordinateMethod,derivedFormulaMatched,derivedFormula,independentlySelectedOnBothImages,validForRegistrationTesting,retirementReason
map-b,RDO Wildflower Reference Map B,Saint Denis,1828,890,8226,2940.5,unknown; previously labeled manual,formula-derived from source coordinate,yes,explorerX = sourceX * 4.5; explorerY = 7168 - (sourceY * 4.75),no,no,Not independently selected on both images; old Explorer coordinate is derived from source coordinate.
map-b,RDO Wildflower Reference Map B,Van Horn,1990,515,8955,4721.75,unknown; previously labeled manual,formula-derived from source coordinate,yes,explorerX = sourceX * 4.5; explorerY = 7168 - (sourceY * 4.75),no,no,Not independently selected on both images; old Explorer coordinate is derived from source coordinate.
map-b,RDO Wildflower Reference Map B,Annesburg,1835,375,8257.5,5386.75,unknown; previously labeled manual,formula-derived from source coordinate,yes,explorerX = sourceX * 4.5; explorerY = 7168 - (sourceY * 4.75),no,no,Not independently selected on both images; old Explorer coordinate is derived from source coordinate.
map-b,RDO Wildflower Reference Map B,Tumbleweed,255,1265,1147.5,1159.25,unknown; previously labeled manual,formula-derived from source coordinate,yes,explorerX = sourceX * 4.5; explorerY = 7168 - (sourceY * 4.75),no,no,Not independently selected on both images; old Explorer coordinate is derived from source coordinate.
map-b,RDO Wildflower Reference Map B,Armadillo,635,1110,2857.5,1895.5,unknown; previously labeled manual,formula-derived from source coordinate,yes,explorerX = sourceX * 4.5; explorerY = 7168 - (sourceY * 4.75),no,no,Not independently selected on both images; old Explorer coordinate is derived from source coordinate.
map-b,RDO Wildflower Reference Map B,MacFarlane's Ranch,800,1110,3600,1895.5,unknown; previously labeled manual,formula-derived from source coordinate,yes,explorerX = sourceX * 4.5; explorerY = 7168 - (sourceY * 4.75),no,no,Not independently selected on both images; old Explorer coordinate is derived from source coordinate.
map-b,RDO Wildflower Reference Map B,Flatneck Station,1230,720,5535,3748,unknown; previously labeled manual,formula-derived from source coordinate,yes,explorerX = sourceX * 4.5; explorerY = 7168 - (sourceY * 4.75),no,no,Not independently selected on both images; old Explorer coordinate is derived from source coordinate.
map-b,RDO Wildflower Reference Map B,Braithwaite Manor,1610,1010,7245,2370.5,unknown; previously labeled manual,formula-derived from source coordinate,yes,explorerX = sourceX * 4.5; explorerY = 7168 - (sourceY * 4.75),no,no,Not independently selected on both images; old Explorer coordinate is derived from source coordinate.
map-b,RDO Wildflower Reference Map B,Sisika Island Shoreline,2000,850,9000,3130.5,unknown; previously labeled manual,formula-derived from source coordinate,yes,explorerX = sourceX * 4.5; explorerY = 7168 - (sourceY * 4.75),no,no,Not independently selected on both images; old Explorer coordinate is derived from source coordinate.
map-c,RDO Wildflower Reference Map C,Colter,1015,100,4567.5,6693,unknown; previously labeled manual,formula-derived from source coordinate,yes,explorerX = sourceX * 4.5; explorerY = 7168 - (sourceY * 4.75),no,no,Not independently selected on both images; old Explorer coordinate is derived from source coordinate.
map-c,RDO Wildflower Reference Map C,Wallace Station,1060,500,4770,4793,unknown; previously labeled manual,formula-derived from source coordinate,yes,explorerX = sourceX * 4.5; explorerY = 7168 - (sourceY * 4.75),no,no,Not independently selected on both images; old Explorer coordinate is derived from source coordinate.
map-c,RDO Wildflower Reference Map C,Strawberry,915,690,4117.5,3890.5,unknown; previously labeled manual,formula-derived from source coordinate,yes,explorerX = sourceX * 4.5; explorerY = 7168 - (sourceY * 4.75),no,no,Not independently selected on both images; old Explorer coordinate is derived from source coordinate.
map-c,RDO Wildflower Reference Map C,Blackwater,1130,885,5085,2964.25,unknown; previously labeled manual,formula-derived from source coordinate,yes,explorerX = sourceX * 4.5; explorerY = 7168 - (sourceY * 4.75),no,no,Not independently selected on both images; old Explorer coordinate is derived from source coordinate.
map-c,RDO Wildflower Reference Map C,Valentine,1245,520,5602.5,4698,unknown; previously labeled manual,formula-derived from source coordinate,yes,explorerX = sourceX * 4.5; explorerY = 7168 - (sourceY * 4.75),no,no,Not independently selected on both images; old Explorer coordinate is derived from source coordinate.
map-c,RDO Wildflower Reference Map C,Emerald Ranch,1615,530,7267.5,4650.5,unknown; previously labeled manual,formula-derived from source coordinate,yes,explorerX = sourceX * 4.5; explorerY = 7168 - (sourceY * 4.75),no,no,Not independently selected on both images; old Explorer coordinate is derived from source coordinate.
map-c,RDO Wildflower Reference Map C,Rhodes,1575,890,7087.5,2940.5,unknown; previously labeled manual,formula-derived from source coordinate,yes,explorerX = sourceX * 4.5; explorerY = 7168 - (sourceY * 4.75),no,no,Not independently selected on both images; old Explorer coordinate is derived from source coordinate.
map-c,RDO Wildflower Reference Map C,Saint Denis,1828,890,8226,2940.5,unknown; previously labeled manual,formula-derived from source coordinate,yes,explorerX = sourceX * 4.5; explorerY = 7168 - (sourceY * 4.75),no,no,Not independently selected on both images; old Explorer coordinate is derived from source coordinate.
map-c,RDO Wildflower Reference Map C,Van Horn,1990,515,8955,4721.75,unknown; previously labeled manual,formula-derived from source coordinate,yes,explorerX = sourceX * 4.5; explorerY = 7168 - (sourceY * 4.75),no,no,Not independently selected on both images; old Explorer coordinate is derived from source coordinate.
map-c,RDO Wildflower Reference Map C,Annesburg,1835,375,8257.5,5386.75,unknown; previously labeled manual,formula-derived from source coordinate,yes,explorerX = sourceX * 4.5; explorerY = 7168 - (sourceY * 4.75),no,no,Not independently selected on both images; old Explorer coordinate is derived from source coordinate.
map-c,RDO Wildflower Reference Map C,Tumbleweed,255,1265,1147.5,1159.25,unknown; previously labeled manual,formula-derived from source coordinate,yes,explorerX = sourceX * 4.5; explorerY = 7168 - (sourceY * 4.75),no,no,Not independently selected on both images; old Explorer coordinate is derived from source coordinate.
map-c,RDO Wildflower Reference Map C,Armadillo,635,1110,2857.5,1895.5,unknown; previously labeled manual,formula-derived from source coordinate,yes,explorerX = sourceX * 4.5; explorerY = 7168 - (sourceY * 4.75),no,no,Not independently selected on both images; old Explorer coordinate is derived from source coordinate.
map-c,RDO Wildflower Reference Map C,MacFarlane's Ranch,800,1110,3600,1895.5,unknown; previously labeled manual,formula-derived from source coordinate,yes,explorerX = sourceX * 4.5; explorerY = 7168 - (sourceY * 4.75),no,no,Not independently selected on both images; old Explorer coordinate is derived from source coordinate.
map-c,RDO Wildflower Reference Map C,Flatneck Station,1230,720,5535,3748,unknown; previously labeled manual,formula-derived from source coordinate,yes,explorerX = sourceX * 4.5; explorerY = 7168 - (sourceY * 4.75),no,no,Not independently selected on both images; old Explorer coordinate is derived from source coordinate.
map-c,RDO Wildflower Reference Map C,Braithwaite Manor,1610,1010,7245,2370.5,unknown; previously labeled manual,formula-derived from source coordinate,yes,explorerX = sourceX * 4.5; explorerY = 7168 - (sourceY * 4.75),no,no,Not independently selected on both images; old Explorer coordinate is derived from source coordinate.
map-c,RDO Wildflower Reference Map C,Sisika Island Shoreline,2000,850,9000,3130.5,unknown; previously labeled manual,formula-derived from source coordinate,yes,explorerX = sourceX * 4.5; explorerY = 7168 - (sourceY * 4.75),no,no,Not independently selected on both images; old Explorer coordinate is derived from source coordinate.
